lowerLambda1,upperLambda1,lowerLambda2,upperLambda2,lowerMu1,upperMu1,lowerMu2,upperMu2,lowerFlatQMatrix1,upperFlatQMatrix1,lowerFlatQMatrix2,upperFlatQMatrix2,lowerFlatQMatrix3,upperFlatQMatrix3,lowerFlatQMatrix4,upperFlatQMatrix4,file
1.05787305406652,1.27975081020616,1.06964728533395,1.30178950098482,1.049080994004,1.27965018267799,1.05290904661708,1.27430801109623,1.0448087553626,1.27174970036517,1.06145599653726,1.29117146431682,1.05779318676503,1.28304743123205,1.05219331999397,1.28522311357006,bisse1
1.05984685463995,1.28966651129643,1.06245179320759,1.28848709884545,1.05157154783303,1.27666471024003,1.0517081723342,1.26911060714537,1.05883252629588,1.2758343969377,1.0552210339383,1.27556042151948,1.06696947738879,1.2908021658186,1.06284711992095,1.29583675092152,bisse2
1.06894772294468,1.29483831594741,1.07205827092018,1.30174143845538,1.03477543977361,1.24461040310194,1.03019773468972,1.24811592450973,1.06035239187905,1.27908913053601,1.05653053923228,1.28646832653666,1.0631819514691,1.29057837385263,1.04445282633364,1.27731502019835,bisse3
1.06445426890173,1.27974152874123,1.05419820562129,1.27363911065952,1.04418824061266,1.26583999324276,1.04363570250569,1.25708490977579,1.05827587480106,1.28362404995757,1.05736802668677,1.27705991843155,1.05660009439505,1.26739453041983,1.05903499083824,1.27355841586748,bisse4
1.05731536191897,1.28082623983974,1.05448843459775,1.27790044386346,1.05601664635804,1.27599599591847,1.04696187886061,1.27955587462215,1.04762641975208,1.27368926213917,1.04708571660291,1.25348655664092,1.05525852670704,1.26724963078086,1.04974886356008,1.27125043414719,bisse5
1.04831559609851,1.26890108793623,1.06362336129877,1.29476574976929,1.04912700805367,1.26828952296477,1.05333402797697,1.27312868897659,1.05924537687275,1.2876443341152,1.04708075359866,1.27107659582469,1.0638510815664,1.29239301011878,1.05913557319005,1.28337594010004,bisse6
1.05810762213625,1.27999710865883,1.04795317614094,1.26101895511028,1.0513945853652,1.25919860115736,1.06043531954066,1.27840540944791,1.0485681383092,1.26466183868671,1.0517522089306,1.27456455305896,1.05005676471742,1.28056858067382,1.04337221789463,1.28260102998053,bisse7
1.07427694787902,1.29837695048687,1.05838009765303,1.30051461983874,1.04767443742187,1.26169256646418,1.03816152073043,1.25400732396811,1.05642967677135,1.28230948183483,1.05965635119058,1.28710836130945,1.03565799500058,1.26017557562547,1.05269015456749,1.27257905958455,bisse8
1.04562939785744,1.27396135002267,1.07104538285813,1.2862876959445,1.05026122861011,1.27393956148872,1.04443512044073,1.26953581605191,1.05822899653538,1.27310345398343,1.05735241222827,1.2777201507139,1.05414334583478,1.28728866172206,1.05609390172654,1.2868513835559,bisse9
1.05534816788649,1.29032970168792,1.08566892163436,1.30386101920709,1.0452553050179,1.26615661547947,1.04162201810441,1.25969187328946,1.03899568075494,1.26620470330274,1.06415421057129,1.28489918553607,1.03845436607472,1.25044013004921,1.05783077195121,1.2813949693609,bisse10
1.05763535845092,1.28916587471116,1.05827278767237,1.2864128542051,1.05113470337362,1.26917943756574,1.04517380259023,1.25390193362635,1.05390878097337,1.28177541725807,1.05553437582353,1.28653851090468,1.04936164422838,1.27618451430429,1.05354352363906,1.27841834941634,bisse11
1.05110221642233,1.28243761388748,1.0442889746929,1.28263039704679,1.04484152971086,1.26799765968556,1.04708535887632,1.26860977518401,1.0502519450392,1.26341281157003,1.04436571048165,1.27364807601252,1.05227850466599,1.26655293189899,1.06128688839119,1.29124658539898,bisse12
1.05119839242853,1.27248836140003,1.05130754873984,1.27621640904075,1.05135768240205,1.26773773535031,1.05355905329812,1.27551228813862,1.04732643855006,1.28323915190753,1.05298249954005,1.26979031741398,1.05512359895397,1.27965717701259,1.04788293721369,1.27811873005906,bisse13
1.0613372865273,1.28684741631523,1.0558661495519,1.28703751030712,1.04850071986027,1.25939521401921,1.04269770731275,1.2690637837568,1.0546106426335,1.28336331679295,1.04872561449552,1.26240193872872,1.04581913103953,1.27308588372806,1.0526806169905,1.27801742901045,bisse14
1.07814591993857,1.30472104577276,1.04991710214943,1.28282366423781,1.05299868819983,1.26214708449063,1.05404134290175,1.28577695319067,1.04810031851004,1.27469443665315,1.05718757884763,1.28061504494638,1.0488962282815,1.26429412664905,1.05156945411005,1.27764270673609,bisse15
1.05851588675454,1.27598289336711,1.07374599386215,1.2826376577847,1.0487106584582,1.27045344123952,1.05336340593751,1.26169805677787,1.04409362493682,1.26571995384014,1.05344061856148,1.27033091013071,1.06216467606723,1.28222512457157,1.05562044973091,1.27289679732488,bisse16
1.0557855687115,1.28847040376673,1.05155592951761,1.27818243043881,1.05719408856029,1.27381368167613,1.05678550127322,1.27318456818412,1.05541470413093,1.28700229206706,1.05642370931924,1.27938422924758,1.06315648672032,1.28073917100138,1.05226076962693,1.27548187645317,bisse17
1.05922683458174,1.285579244825,1.05468845292156,1.28953218472557,1.04831952623503,1.25561190709444,1.04265516235328,1.25642063107455,1.04562031270097,1.27919776331956,1.05751019213288,1.27443004882771,1.05145423159332,1.27301750223077,1.05054561255507,1.27876326475683,bisse18
1.05581093867032,1.27880794536455,1.04786290246364,1.27350816601051,1.052959620719,1.28853817059316,1.0464611081996,1.27287819375977,1.06451204224984,1.28296511645525,1.05915349713501,1.27156474338261,1.05682755320416,1.26826787023369,1.03945760093923,1.27078648319251,bisse19
1.05023657421141,1.27727323638147,1.06122744521907,1.27779158654182,1.04975893115471,1.27488521128325,1.05234490285926,1.2680402080999,1.05448971605695,1.27820440273468,1.02694504020731,1.25175364004585,1.05853120491888,1.29002117544001,1.04775858054908,1.27120447341479,bisse20
1.07238996239168,1.2984604007961,1.06256407529266,1.29230480978289,1.02731840888556,1.2385187245529,1.03449935738102,1.24406231157362,1.05415237762288,1.27548645914556,1.04195887149783,1.27979143306659,1.05163625182033,1.28212711404214,1.06041310596906,1.27506698479781,bisse21
1.05957688421337,1.2794098005302,1.05478886036212,1.28820996065325,1.03984075562331,1.266702274606,1.04685711929666,1.26757481624756,1.04880253880327,1.28374340346492,1.05578029168082,1.27172751629927,1.05838464093155,1.27942682406723,1.05978952721698,1.28674524529098,bisse22
1.07873448527459,1.30346854655758,1.05608672717952,1.28579196713614,1.02463167712613,1.24347733803178,1.03807922058818,1.26121111223997,1.04116462580267,1.26586986070272,1.05491508611641,1.27412994629562,1.05757467307331,1.27818490198787,1.05574604501012,1.26933515557475,bisse23
1.07932436200982,1.29803538188993,1.0835800883707,1.30469184122528,1.03142281258569,1.2526106195884,1.0323498835893,1.24663670108278,1.0569438417296,1.28731127042353,1.0585789445929,1.28623947826353,1.04077659088241,1.26161263189247,1.0463017109935,1.27499590093612,bisse24
1.05877625411093,1.26891979282044,1.07354785376834,1.29385415453426,1.04528199383451,1.27429958492871,1.04369739456542,1.25795852767209,1.05887164154739,1.28303374070973,1.06080977767539,1.28233399880663,1.06218023140773,1.27971397183048,1.05257947989225,1.27466300295876,bisse25
1.06903289156634,1.2834164443971,1.06193946285055,1.28096825871678,1.03932474156077,1.26516431377127,1.04613780844925,1.26048050871506,1.06070143031102,1.2855804255651,1.05120972163056,1.27307639055468,1.06700726703766,1.28269295024865,1.06488814463048,1.28379168669427,bisse26
1.07087533740233,1.29207168493029,1.05716654187001,1.28178179676051,1.04953694807634,1.26104378124785,1.03853734022753,1.2657712544413,1.0510237626756,1.28166988524482,1.05501160613588,1.27696542359986,1.05547315245151,1.2777121099623,1.05693608519931,1.28278731440096,bisse27
1.06438195365689,1.29071659808472,1.05568820352843,1.27354164904203,1.04892143279813,1.27978352860974,1.03912964193996,1.25332541331245,1.04833475102069,1.27176355149538,1.05135531931193,1.27987873160622,1.05337164610444,1.2826669764805,1.05298782953981,1.27240896196056,bisse28
1.04212187987415,1.26645136661254,1.05001059491501,1.2744826711129,1.049728318914,1.27011522356156,1.05462589850748,1.26954304631057,1.05811933711648,1.27900776345404,1.05072379654667,1.26660113057855,1.04832015493182,1.27387692723935,1.05942031069887,1.28949813960987,bisse29
1.06130045367924,1.26979822916658,1.05787849728169,1.26613994091563,1.04164786378358,1.26543659274249,1.05070822563282,1.27756442480306,1.05825063024634,1.27106769769361,1.04065717812874,1.27176423903813,1.05474741477565,1.29109707538704,1.05214698357086,1.27952993621504,bisse30
1.05188882576847,1.27760782548375,1.06712716405943,1.27810459973583,1.0522848876798,1.27048835922299,1.04667720279994,1.27505977262706,1.06057648010966,1.28719502472146,1.0408872850206,1.27622974060865,1.03446895711961,1.26765385806465,1.04382942581839,1.27007306005808,bisse31
1.06034887005024,1.28848472677454,1.06585140233759,1.29073949663849,1.04527066908041,1.27331496530566,1.04121066539566,1.26036628113026,1.05262212519783,1.28148342876918,1.04680506941542,1.27003759787521,1.06170563073432,1.27472281942409,1.0682120254235,1.27239886971362,bisse32
1.10852508368738,1.32258790473793,1.11448126048694,1.3361878009328,1.01729205645416,1.21610999417782,1.00676389120872,1.20208345220326,1.06127823767403,1.28302047301409,1.06147221034889,1.27701880244599,1.05297532438578,1.26473669515819,1.04579709396197,1.27091694798033,bisse33
1.06638811925391,1.28848697156181,1.05868159596801,1.29296604906811,1.04996642960073,1.25903944983696,1.03868897957127,1.24642769938833,1.05867578221445,1.28891008414822,1.06457577725635,1.2932868736336,1.05151940623624,1.26897462356339,1.06193520789402,1.28060375960262,bisse34
1.07125954871531,1.29284340908906,1.05277992816626,1.27393277487776,1.0599150106588,1.28310226980702,1.06135384447875,1.28606410624768,1.05159223857306,1.28688324099767,1.05293742000719,1.26870202194851,1.05647539466183,1.27199603165464,1.03953573853351,1.26393474370342,bisse35
1.0578892699528,1.27392658269171,1.05871183201332,1.27625090984806,1.04740017535619,1.28500521576116,1.05618237193948,1.27082000981777,1.05754933214905,1.27283908698915,1.04622435610112,1.26017334620605,1.0598218622712,1.28680038453843,1.05044479728217,1.27734124527422,bisse36
1.06577674735861,1.28315115216147,1.04732581002646,1.27866569433035,1.05931220904131,1.27502227623599,1.05595152022961,1.2800437309151,1.05404619822918,1.26827654686909,1.04003980565595,1.26998112515007,1.06226915866491,1.28113566056547,1.0573623494209,1.28277070925727,bisse37
1.07266317825628,1.29036486085933,1.04997054887694,1.2820912249815,1.05419997166566,1.27474310742322,1.05645963368299,1.28070781249913,1.05169465489365,1.29122616118665,1.0538535032545,1.27203610532723,1.05905298054604,1.28254407501032,1.05252559330119,1.28764065274489,bisse38
1.05811528608847,1.2714487277974,1.0494755053843,1.26921528936566,1.05532333004133,1.2781885095399,1.04953759719768,1.26837385350197,1.05515482143572,1.2839315766798,1.055707748392,1.29160430315161,1.05020041354072,1.27547437580835,1.04442382488766,1.27187906595591,bisse39
1.05819384957826,1.27321578250947,1.04976052359116,1.27520859961416,1.03797968874384,1.2635398675027,1.04492194443848,1.26626419963966,1.06304182873288,1.28498417585138,1.05551296336739,1.28909700513617,1.04709945804474,1.26653633812657,1.04893021703965,1.27060496536335,bisse40
1.05691021198897,1.26497788946998,1.04564608168338,1.28428161550085,1.04482571058466,1.26969114572522,1.04811240251995,1.26358531669008,1.05308036025289,1.27137699023495,1.05330326395996,1.28300204262438,1.03922556161062,1.27392093255219,1.04484091208959,1.27817225149856,bisse41
